There are in total 1844 existing graphs.
8_3388:                  0          1#          0*
8_3537:                  1          0#          0*
8_3570:                  0          2#          0*
8_3573:                  0          2#          0*
8_3575:                  0          1#          0*
8_3576:                 50         18#         24*
8_3627:                  0          4#          0*
8_3679:                185         48#         28*
8_3732:                140         25#          3*
8_3742:                  7          4#          0*
8_3790:                  1          9#          0*
8_3812:                  1          3#          0*
8_3814:                  2          2#          1*
8_3892:                  4          0#          0*
8_3935:                  3          1#          0*
8_3990:                  4          3#          1*
8_4013:                  1          0#          0*
8_4016:                  2          3#          0*
8_4049:                  0          1#          0*
8_4050:                 64         31#         13*
8_4074:                183         18#          9*
8_4091:                  1          0#          0*
8_4102:                  0          0#          1*
8_4104:                  1          0#          0*
8_4118:                 12          0#          2*
8_4153:                147         29#          8*
8_4190:                  1          0#          0*
8_4229:                 10          0#          6*
8_4275:                  1          0#          0*
8_4289:                  1          0#          0*
8_4298:                  7          4#          0*
8_4299:                171         35#          6*
8_4305:                  0          1#          0*
8_4317:                 12          0#          2*
8_4327:                  4          0#          0*
8_4370:                  1          0#          0*
8_4439:                  2          3#          1*
8_4477:                  3          2#          0*
8_4540:                  1         19#          2*
8_4557:                 44         19#         12*
8_4561:                  1          7#          1*
8_4579:                  2          0#          0*
8_4655:                  3          2#          1*
8_4755:                  3          2#          1*
8_4758:                 25          1#          8*
8_4763:                  8          0#          1*
8_4780:                  1          0#          0*
8_4781:                153         41#          2*
8_4783:                 28          2#          8*
8_4787:                 11          9#          9*
8_4789:                  0          4#          0*
8_4849:                  0          0#          1*
8_4951:                  1          0#          0*
8_4952:                  0          1#          0*
8_4954:                  1          0#          0*
8_4977:                  3          1#          0*
8_4987:                  1          0#          1*
8_5100:                  6          4#          0*
8_5123:                  1          0#          0*
8_5161:                  0          1#          0*
8_5194:                  4          0#          0*
8_5224:                  1          0#          0*
8_5260:                  2          0#          0*
8_5318:                  4          3#          0*
8_5390:                  0          1#          0*
8_5474:                  0          2#          0*
8_5491:                 33         17#         15*
8_5518:                180         43#         17*
8_5628:                  0          1#          0*
8_5708:                  2          4#          0*
8_5709:                  0          1#          0*
8_5710:                  0          1#          0*
8_5718:                  0          1#          0*
8_5720:                  1          2#          0*
8_5766:                  0          1#          0*
8_5774:                  3          4#          0*
8_5927:                  4          7#          1*
8_5931:                193         20#         12*
8_5971:                171         34#         15*
8_6030:                  2          6#          0*
8_6050:                  1          0#          0*
8_6083:                 25          2#          8*
8_6178:                  6          0#          0*
8_6185:                  1          0#          0*
8_6230:                  1          0#          0*
8_6245:                  6          0#          0*
8_6312:                  1          0#          0*
8_6752:                 25          2#          8*
8_6771:                  1          0#          0*
8_6887:                  0          0#          1*
8_6892:                 24          6#          9*
8_6896:                 22         24#          6*
8_6979:                162         33#         14*
8_7013:                 25          2#          8*
8_7072:                 25          6#          8*
8_7082:                 79         12#          2*
8_7189:                  0          1#          0*
8_7268:                  0          1#          0*
8_7579:                  2          5#          0*
8_7583:                  2          2#          0*
8_7588:                  1          4#          0*
8_7637:                  0         19#          2*
8_7638:                 46         24#          0*
8_7689:                  4          3#          1*
8_7699:                  0          2#          0*
8_7722:                 46         25#         17*
8_7748:                 33         13#          5*
8_7751:                 27         28#          0*
8_7758:                  9          0#          0*
8_7789:                  3          0#          0*
8_7791:                  1          0#          0*
8_7797:                  4          0#          0*
8_7809:                  3         17#          2*
8_7848:                  0          3#          0*
8_7852:                  7          0#          2*
8_7913:                  0          1#          0*
8_7942:                 25          2#          8*
8_8007:                  3          0#          0*
8_8010:                 20         16#          8*
8_8042:                  0          2#          0*
8_8075:                207         19#         17*
8_8106:                  0          1#          0*
8_8171:                  0          1#          0*
8_8221:                 29         28#         11*
8_8230:                  1          1#          0*
8_8252:                 44         15#          5*
8_8291:                  2          0#          0*
8_8366:                  1          0#          0*
8_8390:                  0          1#          0*
8_8399:                  0          1#          0*
8_8701:                  0          1#          0*
8_8744:                  1          0#          0*
8_8935:                  0          1#          0*
8_9114:                  0          1#          0*
8_9123:                  0          3#          0*
8_9138:                  3          6#          0*
8_9141:                  1          3#          0*
8_9196:                  8          7#          1*
8_9219:                  0          2#          0*
8_9312:                 25          3#          8*
8_9334:                  0          1#          0*
8_9351:                193         21#         18*
8_9564:                 16          2#          0*
8_9691:                  0          1#          0*
8_9882:                  0          1#          0*
8_9942:                  0          1#          0*
8_10265:                 0          1#          0*
8_10275:                 0          1#          0*
8_10289:                 0          1#          0*
8_10504:               197         24#         18*
8_10567:                74        125#         11*
8_10569:                 9          6#          0*
8_10623:               193         19#         17*
8_10647:                17         60#         20*
8_10976:                 1          0#          0*
8_11029:                 0          2#          0*
8_11249:                51          8#         11*
8_11269:                50          7#         11*
8_11580:                52          7#         12*
8_11581:                12         17#         13*
8_11622:                 0          1#          0*
8_11662:                 0          1#          0*
8_11762:                17          5#          6*
8_11779:                25         40#          0*
8_11974:                 3          4#          3*
8_12185:                 3          3#          0*
8_12186:                 2          1#          0*
8_12187:                 7          7#          0*
8_12189:                 3          3#          0*
8_12190:                 5          4#          0*
8_12192:               169         24#          9*
8_12215:                 1          1#          0*
8_12216:                 1          3#          0*
8_12228:                 4          4#          1*
8_12229:                 1          0#          0*
8_12231:                 0          3#          0*
8_12232:                 6          3#          0*
8_12234:                 5          5#          0*
8_12242:                13          1#          1*
8_12246:                 0          1#          0*
8_12273:                 5          9#          0*
8_12276:                 1          0#          0*
8_12279:                 1          5#          0*
8_12304:                 1          3#          0*
8_12306:                 1          0#          0*
8_12315:                 1          2#          0*
8_12321:                 2          3#          0*
8_12322:                 2          0#          0*
8_12323:                 3          3#          1*
8_12327:                10          0#          0*
8_12383:                 1          1#          0*
8_12384:                 4          2#          0*
8_12497:                 0          2#          0*
8_12662:                 1          2#          0*
8_12755:                 9          5#          0*
8_12757:                 3          2#          0*
8_12759:                 3          0#          0*
8_12760:                 7          3#          0*
8_12761:                 1          1#          0*
8_12801:                 4          3#          1*
8_12803:                 3          4#          1*
8_12804:                 4          3#          1*
8_12861:                 2          2#          0*
8_12862:                 1          1#          0*
8_12863:                 1          1#          0*
8_12896:                 6          3#          0*
8_12920:                 6          2#          0*
8_13099:                 6          9#          0*
8_13109:                 1          0#          0*
8_13111:                 2          4#          0*
8_13112:                 2          4#          0*
8_13113:                 0          4#          0*
8_13169:                 1          0#          0*
8_13170:                 1          0#          0*
8_13172:                 1          3#          0*
8_13173:                 1          1#          0*
8_13211:                 9          0#          0*
8_13248:                 1          0#          0*
8_13271:                 1          2#          0*
8_13272:                 2          0#          0*
8_13282:                 2          2#          0*
8_13416:                 0          4#          0*
8_13948:                 1          0#          0*
8_14014:               179         29#         14*
8_14016:                 1          0#          0*
8_14026:                 1          0#          0*
8_14028:                 1          0#          0*
8_14036:                 1          1#          0*
8_14037:                 0          2#          0*
8_14062:               201         30#         18*
8_14137:               185         18#         11*
8_14143:               183         36#         12*
8_14151:                 1          0#          0*
8_14172:                 2          0#          0*
8_14254:                 0          1#          0*
8_14255:                 0          1#          0*
8_14455:                 1          0#          1*
8_14462:                 0          1#          0*
8_14464:                 1          0#          0*
8_14509:                 2          1#          0*
8_14626:                 1          0#          0*
8_14627:                 0          0#          1*
8_14629:                 1          5#          0*
8_14630:                 1          1#          0*
8_14632:                 1          0#          0*
8_14642:                 1          0#          1*
